ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
MSFT,2008-03-07,2008-03-12,27.8700008392334,28.6299991607666,20,15.199966430664062
MSFT,2008-03-10,2008-03-17,28.049999237060547,28.299999237060547,17,4.25
AMZN,2008-03-11,2008-03-17,3.3575000762939453,3.326499938964844,64,-1.9840087890624716
AMZN,2008-03-12,2008-03-17,3.325500011444092,3.326499938964844,61,0.06099557876589623
AAPL,2008-03-13,2008-03-18,4.569285869598389,4.743570804595947,42,7.319967269897461
GOOGL,2008-03-13,2008-03-18,11.086336135864258,10.989990234375,15,-1.4451885223388672
AAPL,2008-03-17,2008-03-24,4.526071071624756,4.983213901519775,32,14.628570556640625
AMZN,2008-03-17,2008-03-24,3.326499938964844,3.797499895095825,33,15.542998552322373
AAPL,2008-03-18,2008-03-24,4.743570804595947,4.983213901519775,25,5.991077423095703
AMZN,2008-03-18,2008-03-24,3.5850000381469727,3.797499895095825,25,5.3124964237213135
AAPL,2008-03-24,2008-03-31,4.983213901519775,5.125,23,3.261080265045166
MSFT,2008-03-24,2008-03-31,29.170000076293945,28.3799991607666,4,-3.160003662109375
GOOGL,2008-03-24,2008-03-31,11.52552604675293,11.022772789001465,6,-3.016519546508789
AMZN,2008-03-24,2008-03-31,3.797499895095825,3.565000057220459,15,-3.487497568130493
GOOGL,2008-03-25,2008-03-31,11.280780792236328,11.022772789001465,5,-1.2900400161743164
AMZN,2008-03-25,2008-03-31,3.758500099182129,3.565000057220459,13,-2.515500545501709
AAPL,2008-03-31,2008-04-07,5.125,5.567500114440918,10,4.42500114440918
AAPL,2008-04-01,2008-04-07,5.340356826782227,5.567500114440918,9,2.0442895889282227
GOOGL,2008-04-01,2008-04-07,11.654403686523438,11.932432174682615,3,0.8340854644775337
AMZN,2008-04-01,2008-04-07,3.8350000381469727,3.8450000286102295,7,0.06999993324279785
AMZN,2008-04-02,2008-04-07,3.868499994277954,3.8450000286102295,7,-0.16449975967407227
GOOGL,2008-04-03,2008-04-08,11.389389038085938,11.70695686340332,2,0.6351356506347656
AAPL,2008-04-07,2008-04-14,5.567500114440918,5.277856826782227,5,-1.448216438293457
MSFT,2008-04-07,2008-04-14,29.15999984741211,28.059999465942383,1,-1.1000003814697266
GOOGL,2008-04-07,2008-04-14,11.932432174682615,11.30280303955078,1,-0.6296291351318359
AMZN,2008-04-07,2008-04-14,3.8450000286102295,3.630500078201294,4,-0.8579998016357422
GOOGL,2008-04-10,2008-04-15,11.738739013671877,11.18218231201172,1,-0.5565567016601562
AAPL,2008-04-18,2008-04-23,5.751429080963135,5.817500114440918,3,0.1982131004333496
AMZN,2008-04-18,2008-04-23,4.005000114440918,4.050000190734863,3,0.13500022888183594
AAPL,2008-04-21,2008-04-28,6.005713939666748,6.151429176330566,2,0.2914304733276367
AMZN,2008-04-21,2008-04-28,4.008999824523926,4.098499774932861,2,0.1789999008178711
AAPL,2008-04-23,2008-04-28,5.817500114440918,6.151429176330566,1,0.33392906188964844
AMZN,2008-04-23,2008-04-28,4.050000190734863,4.098499774932861,2,0.0969991683959961
AAPL,2008-04-28,2008-05-05,6.151429176330566,6.597499847412109,1,0.44607067108154297
AMZN,2008-04-28,2008-05-05,4.098499774932861,3.796000003814697,1,-0.3024997711181645
AAPL,2008-04-29,2008-05-05,6.251786231994629,6.597499847412109,1,0.34571361541748047
AMZN,2008-05-01,2008-05-06,3.9679999351501465,3.785500049591065,1,-0.1824998855590816
AAPL,2008-05-14,2008-05-19,6.6521430015563965,6.557143211364746,1,-0.09499979019165039
AMZN,2008-05-15,2008-05-20,3.805999994277954,4.035999774932861,1,0.22999978065490723
AMZN,2008-05-16,2008-05-21,3.822999954223633,3.9149999618530273,1,0.09200000762939453
AAPL,2009-01-08,2009-01-13,3.31071400642395,3.132499933242798,1,-0.17821407318115234
AMZN,2009-09-09,2009-09-14,4.111999988555908,4.192999839782715,1,0.08099985122680664
